Unnamed: 0,name,loyalty,date
0,Covert,3101.0,2021-11-22 17:21:00
1,Covert,3801.0,2021-11-23 04:54:00
2,Covert,4101.0,2021-11-23 19:56:00
3,Covert,4601.0,2021-11-25 04:58:00
4,Covert,5001.0,2021-11-26 17:06:00
5,Covert,5601.0,2021-11-29 06:40:00
6,Covert,6501.0,2021-12-05 16:59:00
7,Covert,7001.0,2021-12-10 14:57:00
8,Covert,7301.0,2021-12-14 07:08:00
9,Bel’lal  RbC 232,2601.0,2021-11-22 04:26:00
10,Bel’lal  RbC 232,3101.0,2021-11-22 12:34:00
11,Bel’lal  RbC 232,3401.0,2021-11-22 17:06:00
12,Bel’lal  RbC 232,3601.0,2021-11-22 20:11:00
13,Bel’lal  RbC 232,3801.0,2021-11-23 01:54:00
14,Bel’lal  RbC 232,4001.0,2021-11-23 08:48:00
15,Bel’lal  RbC 232,4201.0,2021-11-23 22:08:00
16,Bel’lal  RbC 232,4301.0,2021-11-23 23:49:00
17,Bel’lal  RbC 232,4501.0,2021-11-24 14:11:00
18,Bel’lal  RbC 232,4801.0,2021-11-25 07:50:00
19,Bel’lal  RbC 232,5001.0,2021-11-26 07:08:00
20,Bel’lal  RbC 232,5201.0,2021-11-27 00:52:00
21,Bel’lal  RbC 232,5401.0,2021-11-28 02:47:00
22,Bel’lal  RbC 232,5501.0,2021-11-28 03:58:00
23,Bel’lal  RbC 232,5801.0,2021-11-30 10:02:00
24,Bel’lal  RbC 232,6001.0,2021-12-02 02:25:00
25,Bel’lal  RbC 232,6501.0,2021-12-07 11:31:00
26,Bel’lal  RbC 232,6701.0,2021-12-08 09:08:00
27,Bel’lal  RbC 232,7001.0,2021-12-10 17:11:00
28,Bel’lal  RbC 232,7101.0,2021-12-11 18:39:00
29,Bel’lal  RbC 232,7201.0,2021-12-12 17:22:00
30,Bel’lal  RbC 232,7301.0,2021-12-13 16:27:00
31,Bel’lal  RbC 232,7501.0,2021-12-15 13:25:00
32,Bel’lal  RbC 232,8001.0,2021-12-20 23:58:00
33,Cris Minime,3801.0,2021-11-22 17:26:00
34,Cris Minime,4800.0,2021-11-24 02:05:00
35,Cris Minime,4801.0,2021-11-24 02:06:00
36,Cris Minime,4901.0,2021-11-24 04:36:00
37,Cris Minime,5101.0,2021-11-24 19:06:00
38,Cris Minime,5201.0,2021-11-25 02:44:00
39,Cris Minime,5301.0,2021-11-25 06:59:00
40,Cris Minime,5401.0,2021-11-25 13:58:00
41,Cris Minime,5501.0,2021-11-26 02:43:00
42,Cris Minime,5800.0,2021-11-27 04:32:00
43,Cris Minime,5801.0,2021-12-02 16:27:00
44,Cris Minime,7801.0,2021-12-10 03:09:00
45,KrakSlanga,3101.0,2021-11-22 13:48:00
46,KrakSlanga,3301.0,2021-11-22 15:21:00
47,KrakSlanga,3501.0,2021-11-22 18:50:00
48,KrakSlanga,3601.0,2021-11-22 22:13:00
49,KrakSlanga,3901.0,2021-11-23 02:33:00
50,KrakSlanga,4101.0,2021-11-23 15:32:00
51,KrakSlanga,4201.0,2021-11-23 17:45:00
52,KrakSlanga,4401.0,2021-11-24 00:39:00
53,KrakSlanga,4601.0,2021-11-24 17:51:00
54,KrakSlanga,4701.0,2021-11-24 20:28:00
55,KrakSlanga,4801.0,2021-11-25 12:16:00
56,KrakSlanga,5101.0,2021-11-26 19:41:00
57,KrakSlanga,5201.0,2021-11-27 00:18:00
58,KrakSlanga,5501.0,2021-11-28 17:23:00
59,KrakSlanga,7001.0,2021-12-10 03:22:00
60,KrakSlanga,7201.0,2021-12-13 04:38:00
61,KrakSlanga,7401.0,2021-12-20 03:04:00
62,Red Draga,2101.0,2021-11-22 06:53:00
63,Red Draga,2801.0,2021-11-22 21:53:00
64,Red Draga,3301.0,2021-11-23 07:34:00
65,Red Draga,4101.0,2021-11-24 10:36:00
